"Total Earmarks in FY08 Appropriations Bills, by Member of Congress",,,,,,
Prepared by Taxpayers for Common Sense (www.taxpayer.net),,,,,,
,,,,,,
Member,Party,State,Solo Earmarks,Solo and With Other Members,"Solo, With Other Members and President",Notes
Abercrombie,D,HI,"$14,368,500","$58,978,900","$63,605,900",
Ackerman,D,NY,"$2,041,000","$16,463,000","$21,385,000",
Aderholt,R,AL,"$9,839,820","$43,680,220","$43,680,220",
Akin,R,MO,"$2,527,000","$40,634,000","$40,634,000",
Alexander,R,LA,"$6,335,200","$55,293,600","$62,181,600",
Allen,D,ME,"$1,600,000","$40,894,500","$41,435,500",
Altmire,D,PA,"$9,634,500","$16,625,000","$58,937,000",
Andrews,D,NJ,"$1,787,000","$22,303,300","$22,303,300",
Arcuri,D,NY,"$2,135,000","$28,168,000","$28,268,000",
Baca,D,CA,"$4,069,000","$9,586,980","$9,586,980",
Bachmann,R,MN,"$429,000","$3,767,600","$3,767,600",
Bachus,R,AL,"$1,767,000","$11,083,500","$11,083,500",
Baird,D,WA,"$527,000","$44,070,300","$89,549,300",
Baker,R,LA,"$4,074,500","$28,121,500","$117,384,500",
Baldwin,D,WI,"$8,468,000","$16,432,500","$16,432,500",
Barrett,R,SC,"$726,000","$8,593,500","$8,593,500",
Barrow,D,GA,"$3,151,000","$21,253,000","$21,944,000",
Bartlett,R,MD,"$3,073,000","$34,270,000","$34,270,000",
Barton,R,TX,"$7,044,000","$8,780,000","$181,305,000",
Bean,D,IL,"$4,270,600","$26,842,300","$26,842,300",
Becerra,D,CA,"$1,505,500","$3,833,500","$3,833,500",
Berkley,D,NV,"$624,000","$46,617,250","$390,354,250",
Berman,D,CA,"$5,240,000","$10,607,200","$10,607,200",
Berry,D,AR,"$7,246,000","$123,863,600","$200,624,600",
Biggert,R,IL,"$1,884,100","$22,898,500","$51,626,500",
Bilbray,R,CA,"$1,649,000","$4,681,000","$6,157,000",
Bilirakis,R,FL,"$4,707,600","$17,792,600","$17,792,600",
"Bishop, Rob",R,UT,"$8,666,000","$62,712,000","$141,112,000",
"Bishop, Sanford",D,GA,"$23,112,000","$75,125,000","$75,125,000",
"Bishop, Timothy",D,NY,"$925,500","$28,154,875","$39,964,875",
Blackburn,R,TN,"$1,177,000","$3,446,000","$3,446,000",
Blumenauer,D,OR,"$307,000","$40,468,650","$53,156,650",
Blunt,R,MO,"$23,554,000","$46,224,000","$46,572,000",
Boehner,R,OH,$0,$0,$0,
Bonner,R,AL,"$1,445,000","$27,775,500","$29,744,500",
Bono Mack,R,CA,"$1,924,000","$10,598,000","$12,558,000",
Boozman,R,AR,"$2,718,000","$29,668,100","$52,300,100",
Bordallo,D,GU,"$6,674,000","$18,956,000","$19,054,000",
Boren,D,OK,"$6,908,000","$10,508,000","$10,508,000",
Boswell,D,IA,"$1,643,000","$32,361,600","$32,361,600",
Boucher,D,VA,"$2,621,000","$9,427,000","$9,427,000",
Boustany,R,LA,"$352,500","$25,409,700","$25,409,700",
Boyd,D,FL,"$36,871,000","$83,164,500","$141,148,500",
Boyda,D,KS,"$20,717,000","$38,008,000","$38,205,000",
"Brady, Kevin",R,TX,"$5,028,000","$11,816,500","$101,293,500",
"Brady, Robert",D,PA,"$6,740,500","$23,988,000","$23,988,000",
Braley,D,IA,"$439,000","$28,056,480","$28,056,480",
Broun,R,GA,$0,$0,$0,
"Brown, Corrine",D,FL,"$4,335,700","$40,784,400","$40,784,400",
"Brown, Henry",R,SC,"$1,383,500","$35,773,500","$35,773,500",
Brown-Waite,R,FL,"$4,833,000","$6,476,000","$6,476,000",Replaced Norwood
Buchanan,R,FL,"$4,420,000","$15,085,500","$19,766,500",
Burgess,R,TX,"$6,273,500","$25,516,500","$25,516,500",
Burton,R,IN,"$4,781,500","$6,912,400","$6,912,400",
Butterfield,D,NC,"$856,000","$8,157,500","$8,157,500",
Buyer,R,IN,"$3,340,000","$8,058,000","$8,058,000",
Calvert,R,CA,"$9,319,120","$26,131,720","$46,795,720",
Camp,R,MI,"$490,000","$6,263,970","$6,263,970",
Campbell,R,CA,$0,"$2,714,000","$2,714,000",
Cannon,R,UT,"$1,845,000","$31,524,800","$31,524,800",
Cantor,R,VA,$0,$0,$0,
Capito,R,WV,"$5,491,500","$5,883,500","$35,403,500",
Capps,D,CA,"$4,308,000","$11,607,000","$14,275,000",
Capuano,D,MA,"$8,415,000","$29,795,600","$39,157,600",
Cardoza,D,CA,"$6,192,000","$11,600,450","$11,600,450",
Carnahan,D,MO,"$1,896,000","$8,578,000","$8,578,000",
Carney,D,PA,"$8,818,600","$24,106,600","$24,106,600",
Carson,D,IN,"$234,000","$9,906,200","$9,906,200",
Carter,R,TX,"$8,961,000","$37,383,200","$125,383,200",One Pres earmark zeroed out
Castle,R,DE,"$3,021,000","$53,457,420","$83,973,420",
Castor,D,FL,"$9,015,800","$19,851,800","$19,851,800",No longer in Congress; successor not yet named
Chabot,R,OH,"$3,977,000","$10,660,000","$10,660,000",
Chandler,D,KY,"$11,106,500","$14,678,500","$14,678,500",
Christensen,D,VI,"$2,397,000","$2,397,000","$2,397,000",
Clarke,D,NY,"$1,077,000","$4,310,600","$4,310,600",
Clay,D,MO,"$3,885,500","$8,176,500","$8,176,500",
Cleaver,D,MO,"$4,878,000","$19,093,500","$38,281,300",
Clyburn,D,SC,"$38,826,000","$61,946,000","$62,161,000",
Coble,R,NC,"$3,385,000","$12,730,500","$12,730,500",One Pres earmark zeroed out
Cohen,D,TN,"$6,437,500","$14,253,500","$14,253,500",
Cole,R,OK,"$2,259,000","$12,177,500","$12,177,500",
Conaway,R,TX,"$7,222,500","$19,526,500","$19,965,500",
Conyers,D,MI,"$245,000","$25,665,900","$34,275,900",
Cooper,D,TN,"$2,416,500","$42,316,000","$42,569,000",
Costa,D,CA,"$3,038,000","$4,393,000","$4,393,000",
Costello,D,IL,"$3,042,000","$21,110,000","$37,810,000",
Courtney,D,CT,"$12,783,000","$59,503,000","$66,394,000",
Cramer,D,AL,"$27,847,000","$59,921,000","$59,921,000",
Crenshaw,R,FL,"$11,008,800","$37,992,300","$37,992,300",One Pres earmark zeroed out
Crowley,D,NY,"$2,413,000","$5,814,000","$5,814,000",One Pres earmark zeroed out
Cubin,R,WY,"$3,852,000","$13,462,000","$13,462,000",
Cuellar,D,TX,"$3,550,000","$7,054,000","$7,054,000",
Culberson,R,TX,"$14,790,000","$43,353,500","$56,806,500",
Cummings,D,MD,"$814,000","$95,336,850","$95,336,850",
"Davis, Artur",D,AL,"$1,448,000","$43,667,000","$43,667,000",
"Davis, Danny",D,IL,"$3,935,000","$12,329,000","$41,819,000",
"Davis, David",R,TN,"$2,997,000","$10,331,000","$10,331,000",
"Davis, Geoff",R,KY,"$3,879,800","$15,514,800","$15,514,800",
"Davis, Jo Ann",R,VA,"$3,292,000","$55,958,400","$88,442,400",
"Davis, Lincoln",D,TN,"$2,816,000","$8,149,000","$8,149,000",
"Davis, Susan",D,CA,"$9,645,500","$21,743,300","$21,743,300",
"Davis, Tom",R,VA,"$7,909,500","$16,882,500","$65,398,500",No longer in Congress; replaced by Wittman
Deal,R,GA,"$8,546,000","$8,546,000","$8,546,000",
DeFazio,D,OR,"$259,500","$29,301,600","$43,805,600",
DeGette,D,CO,"$287,000","$19,241,680","$171,881,954",
Delahunt,D,MA,"$3,548,000","$16,646,500","$16,646,500",
DeLauro,D,CT,"$9,828,000","$54,505,750","$59,427,750",
Dent,R,PA,"$5,936,000","$21,319,000","$21,319,000",
"Diaz-Balart, Lincoln",R,FL,"$3,717,500","$11,046,000","$111,046,000",
"Diaz-Balart, Mario",R,FL,"$2,366,000","$5,259,500","$15,099,500",One Pres earmark zeroed out
Dicks,D,WA,"$53,099,000","$105,952,550","$124,331,550",
Dingell,D,MI,"$3,746,000","$33,019,100","$33,019,100",
Doggett,D,TX,"$2,604,500","$8,001,280","$8,440,280",
Donnelly,D,IN,"$2,916,000","$18,103,600","$18,103,600",
Doolittle,R,CA,"$12,037,000","$21,964,000","$57,170,000",
Doyle,D,PA,"$13,622,000","$29,398,000","$140,885,000",
Drake,R,VA,"$9,619,600","$46,119,400","$223,771,400",
Dreier,R,CA,"$12,552,000","$20,304,000","$20,304,000",
Duncan,R,TN,"$3,435,000","$15,883,500","$15,883,500",
Edwards,D,TX,"$42,336,000","$128,877,980","$376,226,980",8 Pres earmarks sponsored (7 solo)
Ehlers,R,MI,"$1,162,200","$9,091,300","$17,701,300",
Ellison,D,MN,$0,"$69,867,650","$69,867,650",
Ellsworth,D,IN,"$1,225,000","$39,681,800","$39,681,800",12 Pres earmarks sponsored
Emanuel,D,IL,"$8,946,000","$20,906,100","$60,106,100",
Emerson,R,MO,"$14,420,100","$60,722,700","$140,004,700",
Engel,D,NY,"$2,062,000","$9,840,500","$9,840,500",
English,R,PA,"$6,072,000","$15,217,000","$15,217,000",
Eshoo,D,CA,"$6,024,000","$27,152,750","$27,152,750",
Etheridge,D,NC,"$11,216,500","$32,421,000","$32,421,000",
Everett,R,AL,"$4,958,000","$31,654,500","$31,654,500",
Faleomavaega,D,AS,"$613,000","$613,000","$613,000",
Fallin,R,OK,"$1,982,000","$5,364,200","$5,364,200",
Farr,D,CA,"$27,891,000","$43,637,400","$45,637,400",
Fattah,D,PA,"$16,397,000","$17,316,000","$17,316,000",
Feeney,R,FL,"$3,245,000","$10,682,000","$10,682,000",
Ferguson,R,NJ,"$2,351,200","$12,114,200","$22,115,200",
Filner,D,CA,"$2,102,000","$3,551,000","$4,683,000",
Flake,R,AZ,$0,$0,$0,
Forbes,R,VA,"$11,424,500","$17,159,500","$17,220,500",
Fortenberry,R,NE,$0,"$30,372,900","$38,798,900",
Fortuno,R,PR,"$1,078,500","$8,189,500","$50,340,500",
Fossella,R,NY,$0,$0,$0,
Foxx,R,NC,"$7,575,000","$12,395,000","$12,395,000",
Frank,D,MA,"$3,467,000","$15,373,000","$24,735,000",
Franks,R,AZ,"$4,804,500","$29,177,000","$29,177,000",
Frelinghuysen,R,NJ,"$29,292,000","$88,257,960","$183,942,960",
Gallegly,R,CA,"$4,632,500","$5,677,500","$9,378,500",
Garrett,R,NJ,"$1,643,000","$16,303,000","$16,303,000",
Gerlach,R,PA,"$3,322,000","$24,778,500","$24,778,500",
Giffords,D,AZ,"$6,585,000","$24,962,000","$24,962,000",
Gilchrest,R,MD,"$393,000","$15,321,000","$47,805,000",
Gillibrand,D,NY,"$1,653,400","$23,815,500","$23,815,500",
Gillmor,R,OH,"$1,419,000","$8,151,620","$8,151,620",
Gingrey,R,GA,"$6,424,000","$29,690,500","$33,135,500",
Gohmert,R,TX,"$1,368,500","$5,959,700","$5,959,700",
Gonzalez,D,TX,"$3,125,500","$23,990,500","$25,244,500",No longer in Congress; replaced by Latta
Goode,R,VA,"$10,706,700","$22,836,700","$35,905,700",
Goodlatte,R,VA,"$1,345,500","$2,713,500","$12,215,500",
